application_id,date_tagged,date_actioned,outcome_id,queue_id,analyst_id,store_id,message
66,2023-07-30 14:31:00,2023-07-30 14:41:00,A,CE,CDcosta,2,Approved for 2 sim-only services (1 voice + 1 MBB)
67,2023-07-30 14:34:00,2023-07-30 14:37:00,A,CPB,AAkhundpur,1,Approved only with outright purchase of handset or USIM only
68,2023-07-30 14:34:00,2023-07-30 14:40:00,A,CPB,SSyed,1,
69,2023-07-30 14:37:00,2023-07-30 14:54:00,A,CE,NBhatia,4,Approve
70,2023-07-30 14:41:00,2023-07-30 14:49:00,A,CPRB,NVaid,6,Approve
71,2023-07-30 14:41:00,2023-07-30 14:45:00,A,CE,CDcosta,5,Approved for MBB only
72,2023-07-30 14:41:00,2023-07-30 14:48:00,A,CPB,AAkhundpur,6,Approve
73,2023-07-30 14:43:00,2023-07-30 14:55:00,A,CPRB,QMascarenhas,5,Approve
74,2023-07-30 14:43:00,2023-07-30 15:00:00,A,CPB,RBose,1,Approved only with outright purchase of handset or USIM only
75,2023-07-30 14:48:00,2023-07-30 14:56:00,A,CPB,SSyed,1,
76,2023-07-30 14:48:00,2023-07-30 15:00:00,A,CE,NVaid,1,Approve
77,2023-07-30 14:50:00,2023-07-30 14:57:00,A,CPB,AAkhundpur,4,Approved only with outright purchase of handset or USIM only Visa exires- 02/03/2013
78,2023-07-30 14:51:00,2023-07-30 14:58:00,A,CE,SBambaras,1,Approved only with outright purchase of handset or USIM only
79,2023-07-30 14:53:00,2023-07-30 15:01:00,A,CE,SSyed,4,
80,2023-07-30 14:53:00,2023-07-30 15:09:00,A,CPB,SSyed,1,
81,2023-07-30 14:56:00,2023-07-30 15:00:00,A,CPB,QMascarenhas,1,Approved only with outright purchase of handset or USIM only
82,2023-07-30 14:58:00,2023-07-30 15:01:00,A,CE,SBambaras,4,Approved for MBB only
83,2023-07-30 15:03:00,2023-07-30 15:09:00,A,CPB,SBambaras,6,Approved only with outright purchase of handset or USIM only
84,2023-07-30 15:06:00,2023-07-30 15:18:00,A,CPRB,NVaid,6,Approved for 1 handset and 1 MBB
85,2023-07-30 15:06:00,2023-07-30 15:16:00,A,CE,SBambaras,6,Approve
86,2023-07-30 15:07:00,2023-07-30 15:24:00,A,CPRB,QMascarenhas,6,Approve
87,2023-07-30 15:07:00,2023-07-30 15:21:00,A,CPB,AAkhundpur,2,Approved only with outright purchase of handset or USIM only
88,2023-07-30 15:10:00,2023-07-30 15:19:00,A,CE,CDcosta,2,Approved for MBB only
89,2023-07-30 15:16:00,2023-07-30 15:24:00,A,CE,SBambaras,6,Approved only with outright purchase of handset or USIM only
90,2023-07-30 15:16:00,2023-07-30 15:25:00,A,CE,RBose,6,Approve
91,2023-07-30 15:19:00,2023-07-30 15:25:00,A,CPRB,NVaid,2,Approve
92,2023-07-30 15:20:00,2023-07-30 15:27:00,A,CPB,AAkhundpur,3,Approved only with outright purchase of handset or USIM only
93,2023-07-30 15:21:00,2023-07-30 15:34:00,A,CE,SBambaras,1,Approved only with outright purchase of handset or USIM only
94,2023-07-30 15:22:00,2023-07-30 15:33:00,A,CPB,QMascarenhas,4,Approved only with outright purchase of handset or USIM only
95,2023-07-30 15:30:00,2023-07-30 15:38:00,A,CE,RBose,3,Approve
96,2023-07-30 15:37:00,2023-07-30 15:45:00,A,CPRB,AAkhundpur,1,Approved for 1 handset and 1 MBB
97,2023-07-30 15:37:00,2023-07-30 15:48:00,A,CPB,CDcosta,2,Approved only with outright purchase of handset or USIM only
98,2023-07-30 15:38:00,2023-07-30 15:48:00,A,CE,AAkhundpur,4,Approved for MBB only
99,2023-07-30 15:40:00,2023-07-30 16:13:00,A,CPB,SBambaras,2,Approved for 1 handset and 1 MBB
100,2023-07-30 15:41:00,2023-07-30 15:51:00,A,CE,AAkhundpur,4,Approved for MBB only
101,2023-07-30 15:43:00,2023-07-30 15:59:00,A,CPRB,RBose,5,Approved only with outright purchase of handset or USIM only
102,2023-07-30 15:46:00,2023-07-30 16:03:00,A,CPB,QMascarenhas,5,Approved only with outright purchase of handset or USIM only
103,2023-07-30 15:46:00,2023-07-30 16:13:00,A,CPRB,CDcosta,2,Approve
104,2023-07-30 15:51:00,2023-07-30 16:07:00,A,CE,RBose,6,Approved only with outright purchase of handset or USIM only
105,2023-07-30 15:59:00,2023-07-30 16:17:00,A,CPRB,AAkhundpur,1,Approved for 1 Handset/Tablet + 1 MBB
106,2023-07-30 16:00:00,2023-07-30 16:05:00,A,CE,SSyed,2,
107,2023-07-30 16:00:00,2023-07-30 16:10:00,A,CE,SSyed,1,
108,2023-07-30 16:12:00,2023-07-30 16:24:00,A,CPB,CDcosta,3,Approved only with outright purchase of handset or USIM only
109,2023-07-30 16:13:00,2023-07-30 16:24:00,A,CPB,SBambaras,1,Approved only with outright purchase of handset or USIM only
110,2023-07-30 16:17:00,2023-07-30 16:26:00,A,CPRB,AAkhundpur,4,Approved only with outright purchase of handset or USIM only
111,2023-07-30 16:18:00,2023-07-30 16:34:00,A,CPRB,CDcosta,4,Approve
112,2023-07-30 16:18:00,2023-07-30 16:34:00,A,CPRB,AAkhundpur,2,Approved only with outright purchase of handset or USIM only
113,2023-07-30 16:22:00,2023-07-30 16:36:00,A,CE,SBambaras,1,Approved for MBB only
114,2023-07-30 16:22:00,2023-07-30 17:01:00,A,CPB,AAkhundpur,6,Approve
115,2023-07-30 16:29:00,2023-07-30 16:50:00,A,CPB,CDcosta,3,Approve
116,2023-07-30 16:34:00,2023-07-30 16:47:00,A,CPB,AAkhundpur,3,Approved only with outright purchase of handset or USIM only
117,2023-07-30 16:35:00,2023-07-30 17:00:00,A,CE,SSyed,3,
118,2023-07-30 16:36:00,2023-07-30 16:47:00,A,CPB,NVaid,5,Approved only with outright purchase of handset or USIM only
119,2023-07-30 16:42:00,2023-07-30 16:51:00,A,CPB,NVaid,5,Approved only with outright purchase of handset or USIM only - Visa expires on 16/01/2013
120,2023-07-30 16:42:00,2023-07-30 16:56:00,A,CPB,CDcosta,6,Approved only with outright purchase of handset or USIM only
121,2023-07-30 16:43:00,2023-07-30 17:04:00,A,CE,RBose,6,
122,2023-07-30 16:47:00,2023-07-30 16:58:00,A,CPB,NVaid,5,Approved only with outright purchase of handset or USIM only
123,2023-07-30 16:48:00,2023-07-30 17:06:00,A,CPB,AAkhundpur,1,Approved only with outright purchase of handset or USIM only Visa expires on 08/05/2013
124,2023-07-30 16:52:00,2023-07-30 17:08:00,A,CPB,QMascarenhas,6,
125,2023-07-30 16:53:00,2023-07-30 17:17:00,A,CE,MDcruz,3,Approve
126,2023-07-30 16:56:00,2023-07-30 17:10:00,A,CPRB,SBambaras,1,Approved only with outright purchase of handset or USIM only
127,2023-07-30 17:00:00,2023-07-30 17:12:00,A,CE,AAkhundpur,5,Approve
128,2023-07-30 17:01:00,2023-07-30 17:17:00,A,CPRB,NVaid,1,Approve
129,2023-07-30 17:02:00,2023-07-30 17:19:00,A,CPRB,SBambaras,6,Approved only with outright purchase of handset or USIM only
130,2023-07-30 17:02:00,2023-07-30 17:24:00,A,CPRB,AAkhundpur,5,Approved only with outright purchase of handset or USIM only
131,2023-07-30 17:04:00,2023-07-30 17:19:00,A,CPB,CDcosta,1,Approved only with outright purchase of handset or USIM only
132,2023-07-30 17:09:00,2023-07-30 17:28:00,A,CE,NVaid,3,Approved only with outright purchase of handset or USIM only
133,2023-07-30 17:10:00,2023-07-30 17:30:00,A,CE,AAkhundpur,5,Approved for MBB only
134,2023-07-30 17:11:00,2023-07-30 17:26:00,A,CPB,SBambaras,1,Approved only with outright purchase of handset or USIM only
135,2023-07-30 17:12:00,2023-07-30 17:20:00,A,CPB,RBose,5,
136,2023-07-30 17:13:00,2023-07-30 17:31:00,A,CE,NBhatia,6,Approve
137,2023-07-30 17:15:00,2023-07-30 17:30:00,A,CPRB,RBose,5,Approve
138,2023-07-30 17:16:00,2023-07-30 17:32:00,A,CE,SSyed,1,
139,2023-07-30 17:18:00,2023-07-30 17:38:00,A,CE,SBambaras,3,Approve
140,2023-07-30 17:20:00,2023-07-30 17:45:00,A,CE,RBose,3,Approve
141,2023-07-30 17:25:00,2023-07-30 17:40:00,A,CPB,AAkhundpur,4,Approved only with outright purchase of handset or USIM only
142,2023-07-30 17:26:00,2023-07-30 17:49:00,A,CPRB,MDcruz,2,Approve
143,2023-07-30 17:27:00,2023-07-30 17:43:00,A,CPB,NVaid,2,Approved only with outright purchase of handset or USIM only
144,2023-07-30 17:29:00,2023-07-30 17:44:00,A,CE,CDcosta,1,Approve
145,2023-07-30 17:33:00,2023-07-30 17:55:00,A,CPB,NVaid,5,Approved only with outright purchase of handset or USIM only
146,2023-07-30 17:34:00,2023-07-30 17:51:00,A,CPB,SSyed,4,
147,2023-07-30 17:37:00,2023-07-30 17:51:00,A,CPB,MDcruz,3,Approved only with outright purchase of handset or USIM only
148,2023-07-30 17:37:00,2023-07-30 17:58:00,A,CE,RBose,4,Approved for MBB only
149,2023-07-30 17:38:00,2023-07-30 17:57:00,A,CPB,MDcruz,6,Approve
150,2023-07-30 17:40:00,2023-07-30 17:56:00,A,CE,SSyed,4,
151,2023-07-30 17:41:00,2023-07-30 18:02:00,A,CPB,MDcruz,6,Approved only with outright purchase of handset or USIM only
152,2023-07-30 17:44:00,2023-07-30 18:05:00,A,CE,NVaid,5,Approve
153,2023-07-30 17:49:00,2023-07-30 18:10:00,A,CPRB,RBose,6,Approve
154,2023-07-30 17:50:00,2023-07-30 18:05:00,A,CPB,SBambaras,5,Approved only with outright purchase of handset or USIM only
155,2023-07-30 17:55:00,2023-07-30 18:09:00,A,CPB,CDcosta,2,Approved only with outright purchase of handset or USIM only
156,2023-07-30 17:56:00,2023-07-30 18:00:00,A,CE,SSyed,5,
157,2023-07-30 17:56:00,2023-07-30 18:06:00,A,CPB,SSyed,2,
158,2023-07-30 18:05:00,2023-07-30 18:21:00,A,CPRB,MDcruz,4,Approved for MBB only
159,2023-07-30 18:07:00,2023-07-30 18:15:00,A,CPB,CDcosta,5,Approved only with outright purchase of handset or USIM only
160,2023-07-30 18:08:00,2023-07-30 18:21:00,A,CE,RBose,4,Approved for 1 handset and 1 MBB
161,2023-07-30 18:10:00,2023-07-30 18:20:00,A,CPB,NVaid,6,Approved only with outright purchase of handset or USIM only
162,2023-07-30 18:12:00,2023-07-30 18:29:00,A,CE,SSyed,2,
163,2023-07-30 18:15:00,2023-07-30 18:21:00,A,CPB,CDcosta,4,Approved only with outright purchase of handset or USIM only
164,2023-07-30 18:17:00,2023-07-30 18:33:00,A,CPB,NVaid,2,Approved only with outright purchase of handset or USIM only
165,2023-07-30 18:36:00,2023-07-30 18:46:00,A,CPRB,SBambaras,4,Approved only with outright purchase of handset or USIM only
166,2023-07-30 18:40:00,2023-07-30 18:56:00,A,CPRB,AAkhundpur,1,Approved only with outright purchase of handset or USIM only
167,2023-07-30 18:48:00,2023-07-30 18:57:00,A,CPB,SBambaras,3,Approved only with outright purchase of handset or USIM only
168,2023-07-30 19:06:00,2023-07-30 19:21:00,A,CPB,AAkhundpur,1,
169,2023-07-30 19:13:00,2023-07-30 19:26:00,A,CPB,NVaid,5,Approved only with outright purchase of handset or USIM only
170,2023-07-30 19:31:00,2023-07-30 19:38:00,A,CPRB,NVaid,3,Approved only with outright purchase of handset or USIM only
171,2023-07-30 19:38:00,2023-07-30 19:45:00,A,CE,AAkhundpur,4,Approve
172,2023-07-30 09:41:00,2023-07-30 10:10:00,D,CE,NBhatia,5,Customer has overdue account with Asif Tech
173,2023-07-30 10:19:00,2023-07-30 10:43:00,D,CE,NBhatia,2,"Unable to verify employment details provided, -Please email the Offer letter, Employment letter, or Salary Slips, reflecting the Customer's employment with the Firm. to vcredit@Asif Tech.com.au"
174,2023-07-30 10:20:00,2023-07-30 10:34:00,D,CPB,QMascarenhas,1,
175,2023-07-30 11:19:00,2023-07-30 11:21:00,D,CE,AAkhundpur,3,Applicant only has bridging visa. Please offer the customer Pre-Paid service only
176,2023-07-30 11:29:00,2023-07-30 11:56:00,D,CE,MDcruz,4,
177,2023-07-30 11:52:00,2023-07-30 12:06:00,D,CE,MDcruz,3,
178,2023-07-30 12:13:00,2023-07-30 12:19:00,D,CE,AAkhundpur,1,Due to recent payment history with Asif Tech
179,2023-07-30 12:20:00,2023-07-30 12:27:00,D,CPRB,CDcosta,3,Due to credit policy decision by Credit department. Please offer the customer pre-paid service
180,2023-07-30 13:33:00,2023-07-30 13:45:00,D,CPB,AAkhundpur,4,Due to credit policy decision by Credit department. Please offer the customer pre-paid service.existing account -755088525 overdue with 2 services.
181,2023-07-30 13:56:00,2023-07-30 14:11:00,D,CPRB,NVaid,1,Passport Visa expires in less than 12 months. Please offer the customer pre-paid service only - Vida expiry date 30/08/2012
182,2023-07-30 14:30:00,2023-07-30 14:34:00,D,CE,AAkhundpur,5,Applicant only has bridging visa. Please offer the customer Pre-Paid service only
183,2023-07-30 15:01:00,2023-07-30 15:11:00,D,CE,QMascarenhas,4,Data obtained from Veda Advantage Credit File. Please offer the customer pre-paid service only
184,2023-07-30 15:07:00,2023-07-30 15:23:00,D,CPB,SSyed,6,
185,2023-07-30 15:28:00,2023-07-30 15:36:00,D,CE,AAkhundpur,5,Customer has exceeded approved number of services
186,2023-07-30 16:47:00,2023-07-30 17:05:00,D,CE,SBambaras,6,Insufficient billing history with Asif Tech
187,2023-07-30 17:17:00,2023-07-30 17:36:00,D,CE,MDcruz,2,Customer has exceeded approved number of services
188,2023-07-30 17:18:00,2023-07-30 17:28:00,D,CPRB,AAkhundpur,4,Applicant only has bridging visa. Please offer the customer Pre-Paid service only
189,2023-07-30 18:32:00,2023-07-30 18:49:00,D,CE,AAkhundpur,1,Due to credit policy decision by Credit department. Please offer the customer pre-paid service.Passport not submitted in 100 point ID.
190,2023-07-30 19:28:00,2023-07-30 19:40:00,D,CE,RBose,1,Data obtained from Veda Advantage Credit File. Please offer the customer pre-paid service only.
191,2023-07-30 09:03:00,2023-07-30 09:13:00,W,CE,NBhatia,5,Further information has been requested as Customer's requirement not tagged/reflecting as what the customer is looking for which handset or SIM Only connection.
192,2023-07-30 09:28:00,2023-07-30 09:52:00,W,CPB,NBhatia,3,"Please email the Offer letter, Employment letter, or Salary Slips, reflecting the Customer's employment with the Firm. And also provide the Correct LANDLINE number for the company and the contact person to vcredit@Asif Tech.com.au"
193,2023-07-30 09:34:00,2023-07-30 09:52:00,W,CE,CDcosta,2,Please resubmit next application with passport or Medicare card as part of 100 points of ID
194,2023-07-30 09:56:00,2023-07-30 10:02:00,W,CE,CDcosta,1,Please resubmit next application with passport or Medicare card as part of 100 points of ID
195,2023-07-30 10:14:00,2023-07-30 10:27:00,W,CE,CDcosta,4,Please re-submit as self employed.
196,2023-07-30 10:23:00,2023-07-30 10:30:00,W,CPB,CDcosta,6,An account for this applicant already exists with Asif Tech. Please resubmit as existing customer ROW ID 1-88VA7H6
197,2023-07-30 10:36:00,2023-07-30 10:45:00,W,CPB,CDcosta,6,Applicants details are incorrect. Please confirm and resubmit customer's home phone number.
198,2023-07-30 10:41:00,2023-07-30 10:48:00,W,CPRB,SSyed,2,Please email passport with visa page-Unable to validate passport number
199,2023-07-30 10:55:00,2023-07-30 11:00:00,W,CPB,SSyed,1,
200,2023-07-30 11:04:00,2023-07-30 11:14:00,W,CE,NVaid,5,Please resubmit next application with passport as part of 100 points of ID
201,2023-07-30 11:08:00,2023-07-30 11:18:00,W,CPB,SBambaras,3,Please re-submit with the correct current address or email proof of address to vcredit@Asif Tech.com.au
202,2023-07-30 11:19:00,2023-07-30 11:29:00,W,CE,CDcosta,3,Please email 100 pts of ID and Proof of Income to kcredit@Asif Tech.com.au
203,2023-07-30 11:28:00,2023-07-30 11:34:00,W,CPRB,SBambaras,5,Please re-submit with the correct current address or email proof of address to vcredit@Asif Tech.com.au
204,2023-07-30 11:33:00,2023-07-30 11:36:00,W,CE,MDcruz,5,Customer has overdue account with Asif Tech
205,2023-07-30 11:37:00,2023-07-30 11:48:00,W,CPB,NBhatia,4,"Withdrawn, - please email the Offer letter, Employment letter, or Salary Slips, reflecting the Customer's employment with the Firm. to vcredit@Asif Tech.com.au"
206,2023-07-30 11:42:00,2023-07-30 11:49:00,W,CPB,RBose,3,Please email 100 pts of ID along with proof of employment i.e bank statement or latest payslip to vcredit@Asif Tech.com.au
207,2023-07-30 11:43:00,2023-07-30 11:50:00,W,CE,CDcosta,5,Customer has overdue account with Asif Tech account #654154840 - $132.33. Please email Proof of income to kcredit@Asif Tech.com.au
208,2023-07-30 11:44:00,2023-07-30 12:00:00,W,CE,MDcruz,2,
209,2023-07-30 11:47:00,2023-07-30 12:02:00,W,CPRB,RBose,6,Please email 100 pts of ID along with latest payslip or bank statement to vcredit@Asif Tech.com.au
210,2023-07-30 11:48:00,2023-07-30 12:05:00,W,CE,NVaid,6,"Please resubmit next application with passport / medicare card as part of 100 points of ID, please clear overdue 3 account before resubmitting - 3361108438"
211,2023-07-30 11:53:00,2023-07-30 12:01:00,W,CE,CDcosta,3,Further information has been requested via email. Please email Proof of income to kcredit@Asif Tech.com.au. It could either be payslip / bank statements with wage deposits for 3 months.
212,2023-07-30 12:07:00,2023-07-30 12:13:00,W,CPRB,RBose,1,Please email 100 pts of ID with passport and visa page to vcredit@Asif Tech.com.au
213,2023-07-30 12:25:00,2023-07-30 12:44:00,W,CPRB,QMascarenhas,6,Please email Proof of address like Bank Statment or Utility Bill to vcredit@Asif Tech.com.au
214,2023-07-30 12:33:00,2023-07-30 12:42:00,W,CPRB,CDcosta,2,Please email passport with visa page
215,2023-07-30 12:46:00,2023-07-30 12:53:00,W,CPRB,QMascarenhas,1,Please email 100 pts of ID and Passport with visa page to vcredit@Asif Tech.com.au
216,2023-07-30 12:47:00,2023-07-30 13:19:00,W,CE,QMascarenhas,3,Please email Employment ID to vcredit@Asif Tech.com.au and re-submit with company landline
217,2023-07-30 13:02:00,2023-07-30 13:15:00,W,CPB,SSyed,3,
218,2023-07-30 13:04:00,2023-07-30 13:19:00,W,CPRB,NVaid,2,"Incorrect info provided - application needs to be resubmitted with correct address - 8 Craigview street, macgregor, QLD 4109"
219,2023-07-30 13:09:00,2023-07-30 13:25:00,W,CPB,AAkhundpur,1,Please resubmit next application with passport as part of 100 points of ID and apply under a new row ID.
220,2023-07-30 13:12:00,2023-07-30 13:41:00,W,CPB,NBhatia,3,Please email 100 pts of ID to vcredit@Asif Tech.com.au
221,2023-07-30 13:12:00,2023-07-30 13:20:00,W,CE,CDcosta,5,Please re-submit as student. Remove all employer details
222,2023-07-30 13:14:00,2023-07-30 13:37:00,W,CE,RBose,5,
223,2023-07-30 13:19:00,2023-07-30 13:23:00,W,CPB,QMascarenhas,4,Please email Bank Statement to vcredit@Asif Tech.com.au
224,2023-07-30 13:27:00,2023-07-30 13:53:00,W,CPRB,QMascarenhas,5,Please re-submit after customer provides Paid in Full Letter to Asif Tech for written off account row id: 1-5980E69
225,2023-07-30 13:30:00,2023-07-30 13:38:00,W,CPRB,AAkhundpur,3,Please resubmit following Migration process-3396590295
226,2023-07-30 13:39:00,2023-07-30 13:50:00,W,CPB,AAkhundpur,3,An account for this applicant already exists with Asif Tech. Please resubmit as existing customer- Row ID: 1-853UO3Y
227,2023-07-30 13:42:00,2023-07-30 14:00:00,W,CE,NVaid,2,Please resubmit with landline for employer
228,2023-07-30 13:42:00,2023-07-30 14:09:00,W,CE,NBhatia,6,Please email 100 pts of ID to vcredit@Asif Tech.com.au
229,2023-07-30 13:56:00,2023-07-30 14:24:00,W,CE,RBose,1,Please email 100 pts of ID with proof of employment i.e bank statement and latest payslip to vcredit@Asif Tech.com.au
230,2023-07-30 14:14:00,2023-07-30 14:20:00,W,CPRB,SBambaras,1,Please email passport with visa page
231,2023-07-30 14:36:00,2023-07-30 14:41:00,W,CPRB,SBambaras,1,Please re-submit with name of the suburb on current address.
232,2023-07-30 14:47:00,2023-07-30 14:54:00,W,CPRB,SBambaras,4,Please email passport with visa page
233,2023-07-30 15:05:00,2023-07-30 15:14:00,W,CPRB,RBose,5,Applicants address is incorrect. Please resubmit with correct address as suburtb is missing.
234,2023-07-30 15:09:00,2023-07-30 15:26:00,W,CPB,SSyed,5,
235,2023-07-30 15:25:00,2023-07-30 15:33:00,W,CPRB,NVaid,4,Please email address proof to vcredit@Asif Tech.com.au
236,2023-07-30 15:26:00,2023-07-30 15:34:00,W,CPRB,CDcosta,3,Please email 100 pts of ID to vcredit@Asif Tech.com.au
237,2023-07-30 15:34:00,2023-07-30 15:48:00,W,CE,SBambaras,3,Please email copy of Proof of Income (Pay Slips / Bank Statement / Employment Letter) to vcredit@Asif Tech.com.au
238,2023-07-30 15:35:00,2023-07-30 15:45:00,W,CE,NVaid,3,Please email passport with visa page / medical card copy to vcredits@Asif Tech.com.au
239,2023-07-30 15:36:00,2023-07-30 15:40:00,W,CPRB,CDcosta,6,Please email passport with visa page
240,2023-07-30 15:40:00,2023-07-30 16:00:00,W,CPB,NVaid,1,Please resubmit with updated employment details
241,2023-07-30 15:41:00,2023-07-30 15:55:00,W,CE,CDcosta,5,Please email Proof of income to vcredit@Asif Tech.com.au (Payslips / Bank Statement for 3 months)
